run_id,sequence_number,created_at,send_started_at,send_returned_at,acknowledgement_at,creation_to_send_us,send_call_us,acknowledgement_us,total_us,topic,partition,offset,key_size,payload_size,compression_type,success,error_class,error_message
8e1604b5-8d26-40a7-8142-2c18c35477c6,20,2026-07-15T12:02:07.383131300Z,2026-07-15T12:02:07.383649500Z,2026-07-15T12:02:07.392894100Z,2026-07-15T12:02:07.438131900Z,105,9472,45370,54948,producer-test-fixed,0,10019,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,21,2026-07-15T12:02:07.392894100Z,2026-07-15T12:02:07.392894100Z,2026-07-15T12:02:07.393464600Z,2026-07-15T12:02:07.438131900Z,125,472,44767,45364,producer-test-fixed,0,10020,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,22,2026-07-15T12:02:07.393464600Z,2026-07-15T12:02:07.393464600Z,2026-07-15T12:02:07.394061400Z,2026-07-15T12:02:07.438131900Z,82,298,44382,44763,producer-test-fixed,0,10021,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,23,2026-07-15T12:02:07.394061400Z,2026-07-15T12:02:07.394061400Z,2026-07-15T12:02:07.394061400Z,2026-07-15T12:02:07.438131900Z,77,224,44079,44380,producer-test-fixed,0,10022,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,24,2026-07-15T12:02:07.394061400Z,2026-07-15T12:02:07.394061400Z,2026-07-15T12:02:07.394659100Z,2026-07-15T12:02:07.438131900Z,67,262,43758,44089,producer-test-fixed,0,10023,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,25,2026-07-15T12:02:07.394659100Z,2026-07-15T12:02:07.394659100Z,2026-07-15T12:02:07.394659100Z,2026-07-15T12:02:07.438131900Z,70,190,43493,43754,producer-test-fixed,0,10024,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,26,2026-07-15T12:02:07.394659100Z,2026-07-15T12:02:07.394659100Z,2026-07-15T12:02:07.395255500Z,2026-07-15T12:02:07.438131900Z,66,238,43193,43497,producer-test-fixed,0,10025,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,27,2026-07-15T12:02:07.395255500Z,2026-07-15T12:02:07.395255500Z,2026-07-15T12:02:07.395255500Z,2026-07-15T12:02:07.440762600Z,73,308,44967,45349,producer-test-fixed,0,10026,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,28,2026-07-15T12:02:07.395255500Z,2026-07-15T12:02:07.395255500Z,2026-07-15T12:02:07.395255500Z,2026-07-15T12:02:07.440762600Z,67,199,44733,45000,producer-test-fixed,0,10027,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,29,2026-07-15T12:02:07.395255500Z,2026-07-15T12:02:07.395255500Z,2026-07-15T12:02:07.395255500Z,2026-07-15T12:02:07.440762600Z,54,147,44539,44740,producer-test-fixed,0,10028,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,30,2026-07-15T12:02:07.395255500Z,2026-07-15T12:02:07.395255500Z,2026-07-15T12:02:07.395255500Z,2026-07-15T12:02:07.440762600Z,49,113,44382,44545,producer-test-fixed,0,10029,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,31,2026-07-15T12:02:07.395255500Z,2026-07-15T12:02:07.395255500Z,2026-07-15T12:02:07.395255500Z,2026-07-15T12:02:07.440762600Z,50,191,44154,44395,producer-test-fixed,0,10030,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,32,2026-07-15T12:02:07.395255500Z,2026-07-15T12:02:07.395255500Z,2026-07-15T12:02:07.395255500Z,2026-07-15T12:02:07.440762600Z,63,174,43918,44156,producer-test-fixed,0,10031,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,33,2026-07-15T12:02:07.395255500Z,2026-07-15T12:02:07.395255500Z,2026-07-15T12:02:07.395255500Z,2026-07-15T12:02:07.440762600Z,55,163,43738,43956,producer-test-fixed,0,10032,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,34,2026-07-15T12:02:07.395255500Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.440762600Z,66,215,43501,43783,producer-test-fixed,0,10033,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,35,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.440762600Z,55,118,43348,43522,producer-test-fixed,0,10034,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,36,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.440762600Z,50,131,43179,43361,producer-test-fixed,0,10035,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,37,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.440762600Z,49,121,43017,43187,producer-test-fixed,0,10036,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,38,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.440762600Z,49,95,42879,43024,producer-test-fixed,0,10037,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,39,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.440762600Z,51,133,42702,42887,producer-test-fixed,0,10038,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,40,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.442025900Z,59,196,45461,45716,producer-test-fixed,0,10039,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,41,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.442025900Z,80,158,45244,45482,producer-test-fixed,0,10040,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,42,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.442025900Z,51,119,45080,45252,producer-test-fixed,0,10041,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,43,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.442025900Z,50,153,44883,45087,producer-test-fixed,0,10042,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,44,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.442025900Z,56,132,44698,44888,producer-test-fixed,0,10043,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,45,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.442025900Z,56,105,44542,44703,producer-test-fixed,0,10044,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,46,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.442025900Z,51,152,44345,44549,producer-test-fixed,0,10045,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,47,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.442025900Z,52,97,44201,44351,producer-test-fixed,0,10046,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,48,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.442025900Z,59,117,44022,44199,producer-test-fixed,0,10047,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,49,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.442025900Z,50,93,43876,44021,producer-test-fixed,0,10048,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,50,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.442025900Z,53,134,43696,43885,producer-test-fixed,0,10049,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,51,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.397266400Z,2026-07-15T12:02:07.400881Z,2026-07-15T12:02:07.442025900Z,67,355,43292,43715,producer-test-fixed,0,10050,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,52,2026-07-15T12:02:07.400881Z,2026-07-15T12:02:07.400881Z,2026-07-15T12:02:07.400881Z,2026-07-15T12:02:07.442025900Z,99,395,42792,43288,producer-test-fixed,0,10051,2,1024,none,true,,
8e1604b5-8d26-40a7-8142-2c18c35477c6,53,2026-07-15T12:02:07.400881Z,2026-07-15T12:02:07.400881Z,2026-07-15T12:02:07.400881Z,2026-07-15T12:02:07.449019100Z,80,312,47202,47595,producer-test-fixed,0,10052,2,1024,none,true,,
